	StrainID	N	Mean	Median	SD	SEM	Expect	Tails	Pval	D	Observations
0	APA 4832	8	-0.715796200333	-0.53255821834	0.537554632083	0.203176553229	none	2	4.52145682747e-06	1.78826520211	[-1.4665403298538238, -0.52754360293952596, -1.2703669594621727, -1.4028645876200374, -0.53757283374100973, -0.27930721794469671, -0.16236774635542478, -0.079806324748320334]
1	APA 4883	6	0.283161195267	0.245629233383	0.172409654888	0.0771039416612	none	2	1.08954974125e-05	2.19114627816	[0.30598011509057033, 0.48262234020244038, 0.51992199357138069, 0.16254383557780999, 0.18527835167546505, 0.042620535485151101]
2	APA 9154	6	-0.012541894689	0.00295980414593	0.342096489824	0.152990201222	high	1	0.496651460764	0.00363983403278	[-0.091588700799293515, 0.097508309091157583, 0.26587519687207661, 0.47224088255063723, -0.57684217172014918, -0.24244488412845003]
3	APA 4848	6	2.4196373965	2.41661962014	0.181185467466	0.0810286043576	high	1	2.05924637886e-23	17.5774146306	[2.5911949738447717, 2.393268498166361, 2.6850525228381925, 2.1646108110660531, 2.2437268309560445, 2.4399707421048267]
4	APA 4846	6	2.11472963487	2.10376435342	0.484422879439	0.216640497656	high	1	2.62996649031e-13	5.81065720537	[1.5841058220907391, 1.6888361603828796, 1.6339791841890472, 2.5395130855332946, 2.5186925464500987, 2.7232510106028327]
5	APA 9163	6	0.205286621706	0.361715794918	0.464333849609	0.207656410396	high	1	0.0702055853314	0.611284489027	[0.51155879666752258, 0.59701795855630579, 0.70390335903236734, 0.21187279316838059, -0.58849435037814657, -0.20413882681070877]
6	APA 9160	12	0.307719972955	0.287041148272	0.376498103193	0.113518449325	high	1	0.000132580556064	1.09123274365	[0.39175753147712766, 0.56183954766084465, 0.37710057681979553, -0.20984450593316065, -0.060176706319583037, 0.19133475807107364, 1.2413480796810183, 0.33070153643160743, 0.6269082989342688, -0.14075360011368426, 0.24338076011205556, 0.13904339864400431]
7	APA 4812	9	0.498761743802	0.545523601428	0.107940310989	0.0381626629319	high	1	6.2425446465e-14	4.68336096763	[0.54552360142780143, 0.58994851323252329, 0.56103890983162963, 0.46784901553580666, 0.62283561761567618, 0.4824685390858619, 0.27214315227149938, 0.37048387589923848, 0.57656446932230876]
8	APA 9119	9	0.556714147084	0.649465602017	0.234361823327	0.082859417263	high	1	4.5239751435e-10	2.90716242994	[0.6984341567157526, 0.84674398967709652, 0.82480042713157609, 0.46197581119894832, 0.74477284926248322, 0.64946560201747705, 0.21645708658762966, 0.30219823287662106, 0.26557916828740435]
9	APA 9148	11	0.23127298162	0.373867835684	0.381450790743	0.120625331402	high	1	0.00550126952324	0.802705752968	[0.60516963467194052, 0.44567842118515733, 0.42159276077862756, 0.068262191362725169, 0.36621533115848087, -0.54037221994597529, -0.4979962897862179, 0.23714297349010041, 0.37386783568394094, 0.48220839125581699, 0.58223376796034687]
10	APA 4823	6	1.37226764461	1.39792072346	0.669616735766	0.299461708009	high	1	3.42397267734e-05	2.35098683918	[1.7676356310525732, 1.8914072602396976, 2.345979357041998, 0.65401008865946542, 0.54636771478481061, 1.0282058158763558]
11	APA 4815	6	0.36398143246	0.377493876016	0.120374900904	0.0538332922412	high	1	1.80710448114e-10	4.06664117662	[0.46234607954975099, 0.52861249012332989, 0.40044355387748332, 0.16114730009613945, 0.3545441981544134, 0.2767949729615688]
12	APA 4819	6	1.29275296757	1.28073841403	0.478325311421	0.213913582339	high	1	2.64593965223e-05	2.60267432976	[1.6598804797917155, 1.7746406173327904, 1.8601397005098212, 0.72876321530333454, 0.83149744418967408, 0.90159634826929169]
13	APA 9176	6	0.600760768645	0.472767313907	0.337642768325	0.150998436417	high	1	7.99111730276e-07	2.42882196239	[0.35837685110255396, 0.51129858832616526, 0.68679620689357346, 0.43423603948800038, 1.3054861679914045, 0.30837075807050146]
14	APA 9177	6	0.026877459369	0.071077890799	0.0953396617887	0.0426371929423	high	1	0.268136999262	0.312059613775	[0.054011551996440268, 0.088144229601470947, 0.11290653793549592, -0.097190870436342697, -0.11229003812129165, 0.11568334523839378]
15	APA 4140	45	-0.0233992676612	0.00186353572411	0.26148334872	0.0394200980286	none	2	1.0	5.30733137531e-17	[-0.023130114721571681, 0.04775102980220168, -0.025834313317357062, -0.062395182924044133, -0.11499680975534642, 0.16213627619334639, -0.04535002152217011, -0.017159532671055727, 0.060419525921889684, 0.11404242297999573, 0.091184191328483627, -0.23022938522063996, -0.19140298916992415, 0.04910639302604379, 0.12382835443574951, -0.11495993163416025, 0.001863535724113057, 0.1047385513140478, 0.92064653935463125, -0.88461770973753451, -0.82264206585592403, 0.025246362914071282, 0.06865070074026676, -0.099106286912716154, -0.41472799122884146, 0.11700159134251144, 0.22077628750882849, -0.37633547321678723, 0.14142837659982513, 0.17199001156451721, -0.021823908501712282, -0.048367711373592207, 0.067616024713075831, -0.23397546003600914, 0.006155793403435853, 0.19589608345742937, 0.093704713812715779, 0.017789249432011125, -0.11953201255807699, -0.088883114675152822, -0.002009761098154057, 0.085617337761247539, 0.075420451108206818, -0.03498180063614606, -0.043515272424260718]
