	StrainID	N	Mean	Median	SD	SEM	Expect	Tails	Pval	D	Observations
0	APA 4834	12	-0.552453939202	-0.590345032614	0.542083826799	0.163444423492	low	1	2.53137768484e-06	1.35064190241	[-1.3822661131597327, 0.48052845224155649, 0.57031610729355076, -0.7945493954919236, -0.51287596309502903, -0.51528132729783216, -0.69338236200563519, -0.57916450879579784, -0.57819709981908329, -1.0522039892073363, -0.97084551465682645, -0.60152555643182148]
1	APA 4885	6	-0.263562771462	-0.22282515355	0.179397520851	0.0802290103234	low	1	2.24792104402e-05	1.94901693521	[-0.63550684062705254, -0.094464116607731338, -0.28309654677766122, -0.25894632228781117, -0.18670398481165407, -0.12265881765940415]
2	APA 4829	6	-0.337383818916	-0.35112990779	0.146751153795	0.0656291111326	low	1	0.00115806952905	1.82452955516	[-0.56020719019813237, -0.33173642950930671, -0.37052338607001245, -0.44512141261057209, -0.19528022503628992, -0.12143427007336054]
3	APA 4828	9	-0.44629061925	-0.260835653766	0.409926541335	0.144930918583	low	1	0.0350029560754	0.777626719903	[-0.17980747229186841, 0.13581597171425522, -0.021204288246547423, -0.94546089146752565, -0.97748831869003916, -0.93746345582928814, -0.65264039746382552, -0.26083565376579843, -0.17753106720603126]
4	APA 4826	12	-0.348389331041	-0.21456290158	0.429328922413	0.129447540663	low	1	0.03230130322	0.64812304689	[-0.13654425139432572, 0.27517150713467736, -0.085119600969241316, -1.0307333965225447, -1.0587635888810649, -0.97348596541474219, -0.45732489592908315, -0.29258155176544376, 0.061336548940187537, -0.35988383929571305, -0.069864754320209235, -0.052878184068935762]
5	APA 4844	9	-0.163945682604	0.0575633186171	0.525087788697	0.185646568053	low	1	0.0960925053642	0.401999697904	[-0.97363782479280547, -0.87041910929794764, -0.82135023795460538, 0.057563318617087668, 0.15151150796507726, 0.19728435657569604, 0.048842250873304703, 0.4206299018145217, 0.31406469276764526]
6	APA 9168	9	0.192495032522	0.209161005985	0.252361665933	0.0892233226462	low	1	0.0058682002852	0.944219324566	[-0.11812868975330941, -0.17336472773641814, 0.14683330744062564, 0.26182529042420283, 0.2171020018400458, 0.32751160820146635, 0.11193602802977426, 0.20916100598485846, 0.74957946826967981]
7	APA 4825	8	-2.10986845373	-2.20521871465	0.753581567375	0.284827059982	low	1	5.01448219726e-09	3.03562569876	[-1.9006108113966722, -2.1965251668038928, -2.7462300661745469, -2.6039995347882852, -2.2139122624876553, -3.0697504762581262, -0.4557974726527575, -1.6921218392749031]
8	APA 4821	12	-1.98514729062	-1.83965962421	0.774555101558	0.23353715012	low	1	1.12164273163e-18	3.53833112329	[-2.8150925421145017, -3.1541332040226773, -3.2530107625074907, -1.3776744098035236, -1.3840515743927382, -1.4828158809510177, -2.4199610138449179, -2.1965033674787082, -2.3291555922448728, -1.2298553961335981, -1.2075409164680759, -0.97197282746419889]
9	APA 4814	12	-1.48516920695	-1.22426384039	0.554544573778	0.167201480068	low	1	2.25117722467e-17	3.51036828497	[-1.4626650793507319, -1.3699633329776617, -1.2077863849441035, -1.2407412958322852, -1.0810399336886325, -1.116457243922711, -2.6655132628329254, -2.3868461742687859, -2.1478193702276376, -1.162159734229935, -1.0176428964160711, -0.96339577468838333]
10	APA 4817	6	-1.11516376367	-1.13027777226	0.0996966285493	0.0445856877128	low	1	1.05917420425e-21	14.6864399058	[-1.2560236402691078, -1.1478247941390691, -1.1703372688099305, -1.1127307503756989, -0.93103618690405854, -1.0730299415195148]
11	APA 9116	9	-0.871583129216	-0.929578793373	0.135044474908	0.0477454319847	low	1	2.59816721417e-17	6.23343475754	[-0.8132893662932581, -0.92957879337268035, -0.94036968977220758, -1.0003478679471254, -0.57875020381694919, -0.87082450841363956, -1.0221532560629094, -0.95884791723066132, -0.73008656003580941]
12	APA 9174	6	-1.53401779313	-1.49946294094	0.163138098818	0.0729575757356	low	1	2.64530580749e-13	7.8659705758	[-1.5795046055660424, -1.4797150493413278, -1.4237334334958116, -1.8591563677059988, -1.5192108325472866, -1.3427864701487997]
13	APA 4884	6	0.288603411004	0.29148431948	0.23870338654	0.106751399752	none	2	0.000184664612586	1.66072608965	[0.5257829400137094, 0.48379170251010695, 0.56308584358290159, -0.0050123748469967401, 0.064795418311276276, 0.099176936450069128]
14	APA 4140	45	-0.0233992676612	0.00186353572411	0.26148334872	0.0394200980286	none	2	1.0	5.30733137531e-17	[-0.023130114721571681, 0.04775102980220168, -0.025834313317357062, -0.062395182924044133, -0.11499680975534642, 0.16213627619334639, -0.04535002152217011, -0.017159532671055727, 0.060419525921889684, 0.11404242297999573, 0.091184191328483627, -0.23022938522063996, -0.19140298916992415, 0.04910639302604379, 0.12382835443574951, -0.11495993163416025, 0.001863535724113057, 0.1047385513140478, 0.92064653935463125, -0.88461770973753451, -0.82264206585592403, 0.025246362914071282, 0.06865070074026676, -0.099106286912716154, -0.41472799122884146, 0.11700159134251144, 0.22077628750882849, -0.37633547321678723, 0.14142837659982513, 0.17199001156451721, -0.021823908501712282, -0.048367711373592207, 0.067616024713075831, -0.23397546003600914, 0.006155793403435853, 0.19589608345742937, 0.093704713812715779, 0.017789249432011125, -0.11953201255807699, -0.088883114675152822, -0.002009761098154057, 0.085617337761247539, 0.075420451108206818, -0.03498180063614606, -0.043515272424260718]
