Tubejockey	Date	Strain	RTO3_ID	RepA	RepB	RepC	Drop	Normalization	Comment
Dom	20161114	APA 4140	$\Delta$Ku70	303.57	318.86	303		164	
Dom	20161114	APA 4821	$\Delta$960784	43.83	34.65	32.36		164	
Dom	20161114	APA 4812	$\Delta$902840	450.24	464.32	455.11		164	
Dom	20161114	APA 4815	$\Delta$928460	425.02	444.99	407.17		164	
Dom	20161114	APA 4818	$\Delta$906251	94.94	98.03	104.22		164	
Dom	20161114	APA 4817	$\Delta$1000076	129.16	139.22	137.06		164	
Sam	20161120	IFO 0880	WT	147.69	150.98	165.71		167	
Sam	20161120	APA 4140	$\Delta$Ku70	159.15	153.45	185.95		167	
Sam	20161120	APA 9170	$\Delta$904518	80.62	82.3	69.35		167	
Sam	20161120	APA 9176	$\Delta$918398	213.05	236.87	267.51		167	
Sam	20161120	APA 9177	$\Delta$895519	172.53	176.66	179.72		167	
Sam	20161120	APA 4140 filtered		130.93	180.34	183.47		167	
Sam	20161120	IFO 0880 tech rep		152.93	171.01	186.4		167	
Sam	20161120	APA 4140 tech rep		150.68	149.47	197.49		167	
Sam	20161125	APA 4140	$\Delta$Ku70	209.28	213.41	225.2		167	
Sam	20161125	APA 9168	$\Delta$908512	198.99	191.51	239.11		167	
Sam	20161125	APA 4814	$\Delta$946039	78.36	83.56	93.5		167	
Sam	20161125	APA 4812	$\Delta$902840	298.69	332.57	301.74		167	
Sam	20161125	APA 4818	$\Delta$906251	57.74	61.31	75.33		167	
Sam	20161125	APA 4815	$\Delta$928460	241.49	276.13	261.64		167	
Sam	20161125	APA 4817	$\Delta$1000076	99.87	113.27	102.65		167	
Sam	20161125	APA 4821	$\Delta$960784	83.11	82.75	77.27		167	
Sam	20161125	APA 4140 technical rep		237.91	223.72	214.9		167	
Sam	20161125	APA 4140 technical rep		228.34	232.93	222.91		167	
Sam	20161201	APA 4140	$\Delta$Ku70	213.67	210.31	168.31		168	
Sam	20161201	APA 9116	$\Delta$959981	112.35	103.65	102.88		168	
Sam	20161201	APA 9119	$\Delta$947596	320.37	355.06	349.7		168	
Sam	20161201	APA 9122	$\Delta$954794	307.14	288.57	256.48		168	
Sam	20161201	APA 9146	$\Delta$882643	45.66	48.39	44.86		168	
Sam	20161201	APA 9148	$\Delta$911103	300.32	268.89	264.44		168	
Sam	20161201	APA 9150	$\Delta$893400	303.44	279.12	301.86		168	
Sam	20161201	APA 9152	$\Delta$764500	186.02	203.17	207.89		168	
Sam	20161201	APA 4140 tech rep		206.47	213.11	169.84		168	
Sam	20161201	APA 4140 tech rep		202.61	228.34	154.08		168	
Sam	20161204	APA 4140	$\Delta$Ku70	168.03	198.52	209.07		167	
Sam	20161204	APA 9154	$\Delta$887314	180.07	205.29	230.7		167	
Sam	20161204	APA 9156	$\Delta$878863	211.69	210.34	247.67		167	
Sam	20161204	APA 9160	$\Delta$894131	251.74	283.23	249.19		167	
Sam	20161204	APA 9163	$\Delta$908515	273.53	290.22	312.54		167	
Sam	20161204	APA 9167	$\Delta$916939	273.96	263.85	373.06		167	
Sam	20161204	APA 9173	$\Delta$14074	169.72	185.37	196.85		167	
Sam	20161204	APA 9174	$\Delta$895909	64.2	68.8	71.52		167	
Sam	20161204	APA 4140 tech rep		190.3	202.88	221.51		167	
Sam	20161204	APA 4140 tech rep		190.65	208.93	233		167	
Sam	20170113	APA 4140	$\Delta$Ku70	87.49	94.87	101.89		167	
Sam	20170113	APA 4819	$\Delta$876327	299.4	324.19	343.99		167	
Sam	20170113	APA 4823	$\Delta$959351	322.62	351.52	481.72		167	
Sam	20170113	APA 4825	$\Delta$896810		25.38	20.67	TRUE	167	Culture A is contaminated
Sam	20170113	APA 4826	$\Delta$878492	86.19	114.66	89.32		167	
Sam	20170113	APA 4828	$\Delta$943231	83.65	104.1	93.37		167	
Sam	20170120	APA 4140	$\Delta$Ku70	344.25	98.5	102.82		167	
Sam	20170120	APA 4819	$\Delta$876327	301.38	323.62	339.73		167	
Sam	20170120	APA 4823	$\Delta$959351	286.16	265.59	370.9		167	
Sam	20170120	APA 4825	$\Delta$896810	27.1	29.91	39.2		167	
Sam	20170120	APA 4826	$\Delta$878492	89.01	87.3	92.62		167	
Sam	20170120	APA 4828	$\Delta$943231	94.43	92.36	94.96		167	
Sam	20170127	APA 4140	$\Delta$Ku70	164.39	169.41	150.82		169	
Sam	20170127	APA 9116	$\Delta$959981	80.75	108.16	88.34		169	
Sam	20170127	APA 9119	$\Delta$947596	222.51	270.7	253.39		169	
Sam	20170127	APA 9122	$\Delta$954794	252.3	243.32	233.04		169	
Sam	20170127	APA 9176	$\Delta$918398	218.27	399.28	200.04		169	
Sam	20170127	APA 9177	$\Delta$895519	151.02	149.44	175.03		169	
Sam	20170127	APA 4829	$\Delta$915041	109.56	128.36	124.95		169	
Sam	20170127	APA 4830	$\Delta$910064	168.55	295.15	168.57		169	
