SetName	Date_pool_expt_started	Drop	Person	Mutant Library	Description	gDNA plate	gDNA well	Index	Sequenced At	Media	Growth Method	Group	Temperature	pH	Liquid v. solid	Aerobic_v_Anaerobic	Shaking	Condition_1	Concentration_1	Units_1	Condition_2	Concentration_2	Units_2	Timecourse	Timecourse Sample	Growth Plate ID	Growth Plate wells	StartOD	EndOD	Total Generations
setA	12/1/16	FALSE	D Pinel	RtBC42	YNB Glucose 75mM Arginine	NA	NA	Aux_Arg_A	HiSeq4000	YNB Glucose + Arginine	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/2/16	FALSE	D Pinel	RtBC42	YNB Glucose 75mM Arginine	NA	NA	Aux_Arg_B	HiSeq4000	YNB Glucose + Arginine	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/3/16	FALSE	D Pinel	RtBC42	YNB Glucose 75mM Arginine	NA	NA	Aux_Arg_C	HiSeq4000	YNB Glucose + Arginine	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/1/16	FALSE	D Pinel	RtBC42	Dropout Complete	NA	NA	Aux_DO_A	HiSeq4000	YNB Glucose + DOC	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/2/16	FALSE	D Pinel	RtBC42	Dropout Complete	NA	NA	Aux_DO_B	HiSeq4000	YNB Glucose + DOC	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/3/16	FALSE	D Pinel	RtBC42	Dropout Complete	NA	NA	Aux_DO_C	HiSeq4000	YNB Glucose + DOC	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/1/16	FALSE	D Pinel	RtBC42	YNB Glucose 75mM Methionine	NA	NA	Aux_Met_A	HiSeq4000	YNB Glucose + Methionine	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/2/16	FALSE	D Pinel	RtBC42	YNB Glucose 75mM Methionine	NA	NA	Aux_Met_B	HiSeq4000	YNB Glucose + Methionine	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/3/16	FALSE	D Pinel	RtBC42	YNB Glucose 75mM Methionine	NA	NA	Aux_Met_C	HiSeq4000	YNB Glucose + Methionine	Flask	Auxotrophy	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/1/16	FALSE	D Pinel	RtBC42	Time0	NA	NA	Aux_T0_A	HiSeq4000	YPD	Flask	T0	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
setA	12/2/16	FALSE	D Pinel	RtBC42	Time0	NA	NA	Aux_T0_B	HiSeq4000	YPD	Flask	T0	30C	6.6	Liquid	Aerobic	250 rpm	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.1	~7	6
