Sample	Strain	RTO4 ID	Short Name	BarSeq Fitness	Exp Date	OD 600	OD Ratio
1	APA 4140	RTO4_11920	$YKU70\Delta$	-0.411809206	6/19/17	0.95	0.067355268
2	APA 4140	RTO4_11920	$YKU70\Delta$	0.146247979	6/19/17	0.96	0.08246216
3	APA 4140	RTO4_11920	$YKU70\Delta$	0.28396573	6/19/17	0.81	-0.162650338
7	APA 2687		IFO 0880	0	6/19/17	1.03	0.184000187
8	APA 2687		IFO 0880	0	6/19/17	1	0.141355849
9	APA 2687		IFO 0880	0	6/19/17	1	0.141355849
19	APA 4830	RTO4_16346	$PEX7\Delta$	-4.313668118	6/19/17	0.39	-1.217098122
20	APA 4830	RTO4_16346	$PEX7\Delta$	-2.026771679	6/19/17	0.37	-1.293046975
21	APA 4830	RTO4_16346	$PEX7\Delta$	-3.676133995	6/19/17	0.39	-1.217098122
22	APA 4836	RTO4_8963	$RTO4$_$8963\Delta$	-1.011221247	6/19/17	0.6	-0.595609745
23	APA 4836	RTO4_8963	$RTO4$_$8963\Delta$	-1.459841342	6/19/17	0.7	-0.373217324
24	APA 4836	RTO4_8963	$RTO4$_$8963\Delta$	-1.313803845	6/19/17	0.56	-0.695145418
25	APA 4837	RTO4_14805	$ECHS1\Delta$	-3.643756437	6/19/17	0.08	-3.502500341
26	APA 4837	RTO4_14805	$ECHS1\Delta$	-4.900857062	6/19/17	0.08	-3.502500341
27	APA 4837	RTO4_14805	$ECHS1\Delta$	-4.09770246	6/19/17	0.08	-3.502500341
28	APA 4839	RTO4_14070	$ACADSB\Delta$	-2.142096174	6/19/17	0.38	-1.254572827
29	APA 4839	RTO4_14070	$ACADSB\Delta$	-1.971228282	6/19/17	0.37	-1.293046975
30	APA 4839	RTO4_14070	$ACADSB\Delta$	-2.174662276	6/19/17	0.26	-1.802060622
31	APA 4841	RTO4_8673	$Pex11-like\Delta$	-3.84571389	6/19/17	0.16	-2.502500341
32	APA 4841	RTO4_8673	$Pex11-like\Delta$	-4.119142989	6/19/17	0.15	-2.595609745
33	APA 4841	RTO4_8673	$Pex11-like\Delta$	-4.177523959	6/19/17	0.15	-2.595609745
37	APA 4845	RTO4_14567	$RTO4$_$14567\Delta$	-1.936422683	6/19/17	0.19	-2.254572827
38	APA 4845	RTO4_14567	$RTO4$_$14567\Delta$	-2.109530933	6/19/17	0.2	-2.180572246
39	APA 4845	RTO4_14567	$RTO4$_$14567\Delta$	-1.987822142	6/19/17	0.19	-2.254572827
