RTO4_14354	None
RTO4_16454	GO:0016021
RTO4_16454	GO:0055085
RTO4_16454	GO:0003674
RTO4_16454	GO:0071944
RTO4_16454	GO:0015238
RTO4_16454	GO:0015893
RTO4_16454	GO:0016020
RTO4_16454	GO:0006810
RTO4_16454	GO:0015297
RTO4_16454	GO:0005886
RTO4_16454	GO:0006811
RTO4_16454	GO:0005215
RTO4_16454	GO:0015992
RTO4_15376	None
RTO4_15377	None
RTO4_15837	GO:0005488
RTO4_15929	GO:0004252
RTO4_15929	GO:0016021
RTO4_15929	GO:0006508
RTO4_15929	GO:0044182
RTO4_15929	GO:1900429
RTO4_15929	GO:0030447
RTO4_15929	GO:0005739
RTO4_15929	GO:0009506
RTO4_15929	GO:0005634
RTO4_15929	GO:0005886
RTO4_9831	GO:0004672
RTO4_9831	GO:0005524
RTO4_9831	GO:0006468
RTO4_9831	GO:0016772
RTO4_9831	GO:0005829
RTO4_9831	GO:0004674
RTO4_9831	GO:0000939
RTO4_9831	GO:0000778
RTO4_9831	GO:1990023
RTO4_9831	GO:0032133
RTO4_9831	GO:1990385
RTO4_9831	GO:0007094
RTO4_9831	GO:0000320
RTO4_9831	GO:0007076
RTO4_9831	GO:0033316
RTO4_9831	GO:0000281
RTO4_9831	GO:0034501
RTO4_9831	GO:0090699
RTO4_9831	GO:0051316
RTO4_9831	GO:0034503
RTO4_9831	GO:0098783
RTO4_9831	GO:2000775
RTO4_9831	GO:0045144
RTO4_9831	GO:0090266
RTO4_9831	GO:1901925
RTO4_9831	GO:1901673
RTO4_9831	GO:0032465
RTO4_9831	GO:0051228
RTO4_9831	GO:0044774
RTO4_9831	GO:0005737
RTO4_9831	GO:0005828
RTO4_9831	GO:0007100
RTO4_9831	GO:0045167
RTO4_9831	GO:0007098
RTO4_9831	GO:0007017
RTO4_9831	GO:0005813
RTO4_9831	GO:0050767
RTO4_9831	GO:0051294
RTO4_9831	GO:0008105
RTO4_9831	GO:0051299
RTO4_9831	GO:0018105
RTO4_9831	GO:0051297
RTO4_9831	GO:0051298
RTO4_9831	GO:0007279
RTO4_9831	GO:0004712
RTO4_9831	GO:0098725
RTO4_9831	GO:1903827
RTO4_9831	GO:0006325
RTO4_9831	GO:0000775
RTO4_9831	GO:0005819
RTO4_9831	GO:0030496
RTO4_9831	GO:0016572
RTO4_9831	GO:0000070
RTO4_9831	GO:0000776
RTO4_9831	GO:0008608
RTO4_9831	GO:0032467
RTO4_9831	GO:0043988
RTO4_9831	GO:0031577
RTO4_9831	GO:0051233
RTO4_9831	GO:0000780
RTO4_9831	GO:0019233
RTO4_9831	GO:0022008
RTO4_9831	GO:0000920
RTO4_9831	GO:0048132
RTO4_9831	GO:0030261
RTO4_9831	GO:0000086
RTO4_9831	GO:0005515
RTO4_9831	GO:0005634
RTO4_9831	GO:0005654
RTO4_9831	GO:0005814
RTO4_9831	GO:0005929
RTO4_9831	GO:0006977
RTO4_9831	GO:0007051
RTO4_9831	GO:0007052
RTO4_9831	GO:0007057
RTO4_9831	GO:0007067
RTO4_9831	GO:0009611
RTO4_9831	GO:0009948
RTO4_9831	GO:0010972
RTO4_9831	GO:0015630
RTO4_9831	GO:0019901
RTO4_9831	GO:0031145
RTO4_9831	GO:0031625
RTO4_9831	GO:0031647
RTO4_9831	GO:0032091
RTO4_9831	GO:0032436
RTO4_9831	GO:0035174
RTO4_9831	GO:0035404
RTO4_9831	GO:0042585
RTO4_9831	GO:0042787
RTO4_9831	GO:0043066
RTO4_9831	GO:0043203
RTO4_9831	GO:0045120
RTO4_9831	GO:0045840
RTO4_9831	GO:0046605
RTO4_9831	GO:0046777
RTO4_9831	GO:0048471
RTO4_9831	GO:0051301
RTO4_9831	GO:0051642
RTO4_9831	GO:0071539
